uri,der,der_overlap_system,jer,count_ref,count_hyp,count_error,missed_detection,false_alarm,confusion,der_overlap_assigned,region_t_and_d,region_t_minus_d,region_d_minus_t
EN2002a,0.21842763935326182,0.32515525698304437,0.2633988739959304,4,4,0,338.72671874999077,72.20637499999327,141.74562500000062,0.2324499372099055,353.2392187500048,166.34078124999513,44.470781249996314
EN2002b,0.2061047195951468,0.30719143694466455,0.2612664671881217,4,4,0,219.9568124999954,61.91634374999658,118.67900000000007,0.21986439170755326,280.45396875000273,109.40603124999578,27.869156249997403
EN2002c,0.17432348241736395,0.30136462692725857,0.1975414544957904,3,3,0,442.7779374999994,37.66606249999154,102.4309687500033,0.1643447531056814,389.22468750000644,241.23531249999354,18.812812499991907
EN2002d,0.23393209829252282,0.3450493815408453,0.2829453501818803,4,4,0,384.72309374998656,84.52934374999195,156.7241250000004,0.2554521232442415,405.74756250000706,173.26243749999222,52.52681249999615
ES2004a,0.1850585250100137,0.3623275555854178,0.22163866241111413,4,5,1,114.75921874999813,29.59484374999886,26.534531250000033,0.20478242033824232,60.46568750000134,63.85431249999875,12.75493749999956
ES2004b,0.12438898031839206,0.32663151658766554,0.14213087734577506,4,5,1,140.70212499999073,78.38462499999216,58.68006250000259,0.17957670424321048,120.39278125000976,82.76721874999198,21.205343749991272
ES2004c,0.12193882353071803,0.2804265013653788,0.133587801671993,4,5,1,117.88565624999197,105.74190624999733,50.06046875000138,0.16025896179175458,141.7695937500019,73.24040624999658,30.406031249997767
ES2004d,0.18588899986046856,0.32304631812698115,0.24410934812618823,4,4,0,172.50896874999881,98.91306199999497,101.61443749999896,0.20923211919959503,169.97931250000258,89.33068749999892,35.794437499996626
IS1009a,0.19470680952722966,0.35535843251675564,0.32831388060654076,4,4,0,59.61518749999956,38.681437499999554,37.199843750000056,0.23485436625032655,49.586625000000176,32.513374999999996,17.356499999999507
IS1009b,0.1428774609550321,0.37519166991806746,0.15889051581864064,4,5,1,139.50428125000093,56.912406249998725,86.90503125000036,0.27446804064740393,108.9295312500002,70.52046874999965,27.437343749997837
IS1009c,0.09836552115876432,0.3298277653452696,0.11468797255022009,4,4,0,74.03281250000245,53.557812500003216,28.264624999998354,0.19383974754745747,46.91737499999903,28.02262500000029,17.96700000000147
IS1009d,0.1604891687277086,0.3644076468755261,0.24678281941027036,4,4,0,130.0858749999967,76.06649999999772,72.87409374999973,0.26915520279802074,102.39234375000179,59.84765624999862,26.49890624999873
TS3003a,0.1628052982365785,0.4414691751241674,0.3697529368335961,4,4,0,117.75784374999496,28.72759374999635,20.54693750000162,0.29042504928950624,17.026375000000886,27.72962499999889,4.573624999999378
TS3003b,0.11451560354297223,0.37058687652652805,0.12237751186252122,4,4,0,83.8980937499886,98.95934374999044,25.618218750002015,0.21145271947155242,36.95018750000395,37.40981249999837,9.118562499996528
TS3003c,0.13077834235184527,0.32896695291920136,0.1264692168175951,4,4,0,142.67509374999347,80.18946874998929,24.86231250000011,0.09015275520106934,40.8355937500032,48.924406249997546,12.421906249996312
TS3003d,0.20440928482759585,0.3419657575866891,0.24668208950666232,4,4,0,245.43974999998605,97.02724999998117,80.72971874999816,0.1744543582280409,109.20603125000432,89.53396874999663,23.735218749994814
