uri,der,der_overlap_system,jer,count_ref,count_hyp,count_error,missed_detection,false_alarm,confusion,der_overlap_assigned,region_t_and_d,region_t_minus_d,region_d_minus_t
EN2002a,0.20909306257063948,0.309922620439155,0.24658239439234148,4,4,0,338.72671874999077,72.20637499999327,118.1267187500024,0.21264924190192686,353.2392187500048,166.34078124999513,44.470781249996314
EN2002b,0.18432983202465314,0.2783675654138455,0.2195529466441506,4,4,0,219.9568124999954,61.91634374999658,76.36081249999981,0.18096549920619226,280.45396875000273,109.40603124999578,27.869156249997403
EN2002c,0.17064856713043075,0.3031808276181878,0.19027152717095883,3,3,0,442.7779374999994,37.66606249999154,90.14337500000202,0.16831009930426874,389.22468750000644,241.23531249999354,18.812812499991907
EN2002d,0.22495373034765065,0.320046342024302,0.2634812682488127,4,4,0,384.72309374998656,84.52934374999195,132.69899999999632,0.22318156712094991,405.74756250000706,173.26243749999222,52.52681249999615
ES2004a,0.1770569371798593,0.3490916967474324,0.2125429231756352,4,4,0,114.75921874999813,29.59484374999886,19.145625000000564,0.18109700735339332,60.46568750000134,63.85431249999875,12.75493749999956
ES2004b,0.11688042979332548,0.31086315165875245,0.1374342419791221,4,5,1,140.70212499999073,78.38462499999216,41.91309375000267,0.16540435115000074,120.39278125000976,82.76721874999198,21.205343749991272
ES2004c,0.12038284650718872,0.28162373254095446,0.12786658831716824,4,5,1,117.88565624999197,105.74190624999733,46.56812500000058,0.16430162243413038,141.7695937500019,73.24040624999658,30.406031249997767
ES2004d,0.17692369118035037,0.3021539848119269,0.23533613004078074,4,4,0,172.50896874999881,98.91306199999497,83.62312499999814,0.17261445948968213,169.97931250000258,89.33068749999892,35.794437499996626
IS1009a,0.1849276117258213,0.34475802374624337,0.29991020632540066,4,4,0,59.61518749999956,38.681437499999554,30.394499999999965,0.2136594413489253,49.586625000000176,32.513374999999996,17.356499999999507
IS1009b,0.12505318726455789,0.34286789569515125,0.1436280145167078,4,4,0,139.50428125000093,56.912406249998725,51.560031250000726,0.22907587366969523,108.9295312500002,70.52046874999965,27.437343749997837
IS1009c,0.09694769872826844,0.32829144021739765,0.11269234080969755,4,4,0,74.03281250000245,53.557812500003216,26.018156249999173,0.19600932056882117,46.91737499999903,28.02262500000029,17.96700000000147
IS1009d,0.1570886417232215,0.34391482777179055,0.23382816205034088,4,4,0,130.0858749999967,76.06649999999772,66.96193749999847,0.24016307932850833,102.39234375000179,59.84765624999862,26.49890624999873
TS3003a,0.15969575321355564,0.4409030177067596,0.366087006715701,4,4,0,117.75784374999496,28.72759374999635,17.356656250001002,0.23486352441960173,17.026375000000886,27.72962499999889,4.573624999999378
TS3003b,0.11109557813786342,0.3453484541714721,0.11443498664068982,4,4,0,83.8980937499886,98.95934374999044,19.392062500001416,0.1684830483036636,36.95018750000395,37.40981249999837,9.118562499996528
TS3003c,0.12938831331660747,0.33047629499559,0.1241754785529023,4,4,0,142.67509374999347,80.18946874998929,22.22925000000092,0.09429766600155934,40.8355937500032,48.924406249997546,12.421906249996312
TS3003d,0.20039217592277886,0.3232092899429565,0.24093428053336322,4,4,0,245.43974999998605,97.02724999998117,72.41293749999939,0.15075268825863647,109.20603125000432,89.53396874999663,23.735218749994814
