uri,der,der_overlap_system,jer,count_ref,count_hyp,count_error,missed_detection,false_alarm,confusion,der_overlap_assigned,region_t_and_d,region_t_minus_d,region_d_minus_t
EN2002a,0.2111602167366134,0.31340886756021424,0.24997145593316522,4,4,0,338.72671874999077,72.20637499999327,123.35715624999966,0.21628414211491692,353.2392187500048,166.34078124999513,44.470781249996314
EN2002b,0.1943320060048126,0.2839698486228325,0.23730863868964824,4,4,0,219.9568124999954,61.91634374999658,95.79943750000089,0.1885641056022426,280.45396875000273,109.40603124999578,27.869156249997403
EN2002c,0.17531570197449323,0.3071027520322493,0.198281911583994,3,3,0,442.7779374999994,37.66606249999154,105.74859375000284,0.17426732491891542,389.22468750000644,241.23531249999354,18.812812499991907
EN2002d,0.2228562155955498,0.321630307137249,0.26216419851914047,4,4,0,384.72309374998656,84.52934374999195,127.08628124999704,0.22549387241402652,405.74756250000706,173.26243749999222,52.52681249999615
ES2004a,0.18327072707189226,0.3568986166045812,0.22189207299350167,4,5,1,114.75921874999813,29.59484374999886,24.883625000000553,0.1955868261612997,60.46568750000134,63.85431249999875,12.75493749999956
ES2004b,0.12188921822170769,0.3190811611374245,0.141110142478869,4,5,1,140.70212499999073,78.38462499999216,53.097968750001556,0.17378692927042869,120.39278125000976,82.76721874999198,21.205343749991272
ES2004c,0.12167048345488755,0.27897130170560447,0.13283768107581523,4,5,1,117.88565624999197,105.74190624999733,49.4581875000021,0.15808551978213936,141.7695937500019,73.24040624999658,30.406031249997767
ES2004d,0.18296762309581804,0.30769335773293494,0.24209866572292588,4,4,0,172.50896874999881,98.91306199999497,95.75190625000118,0.18197114640147016,169.97931250000258,89.33068749999892,35.794437499996626
IS1009a,0.19249187203621074,0.3475493630113243,0.3124775145116705,4,4,0,59.61518749999956,38.681437499999554,35.65846874999997,0.21709157991799607,49.586625000000176,32.513374999999996,17.356499999999507
IS1009b,0.14201403072159396,0.362779620236704,0.15272983797602055,4,5,1,139.50428125000093,56.912406249998725,85.19287499999956,0.25876895470460654,108.9295312500002,70.52046874999965,27.437343749997837
IS1009c,0.1003567483985004,0.33862551950128145,0.11772591505313006,4,4,0,74.03281250000245,53.557812500003216,31.4196249999982,0.21277778075127912,46.91737499999903,28.02262500000029,17.96700000000147
IS1009d,0.1592106256470694,0.3503724116197326,0.23972558644927383,4,4,0,130.0858749999967,76.06649999999772,70.65121875000037,0.24952172694922076,102.39234375000179,59.84765624999862,26.49890624999873
TS3003a,0.169448775736763,0.4375013496005146,0.3933939305450347,4,4,0,117.75784374999496,28.72759374999635,27.36290625000092,0.2498303009216537,17.026375000000886,27.72962499999889,4.573624999999378
TS3003b,0.11809502883822035,0.37549632825554025,0.13373722835261764,4,4,0,83.8980937499886,98.95934374999044,32.13456250000118,0.2211993808280346,36.95018750000395,37.40981249999837,9.118562499996528
TS3003c,0.1327216906427256,0.33207000384106533,0.1323256774333174,4,4,0,142.67509374999347,80.18946874998929,28.543500000000193,0.09781187882581993,40.8355937500032,48.924406249997546,12.421906249996312
TS3003d,0.2049970204169213,0.3302658652804804,0.24904092463574912,4,4,0,245.43974999998605,97.02724999998117,81.94653125000218,0.16135176097065485,109.20603125000432,89.53396874999663,23.735218749994814
