uri,der,der_overlap_system,jer,count_ref,count_hyp,count_error,missed_detection,false_alarm,confusion,der_overlap_assigned,region_t_and_d,region_t_minus_d,region_d_minus_t
EN2002a,0.01896351560712027,0.030763638154390545,0.03384760291596421,4,4,0,1.806312500039096,14.085687500035778,32.0906249999972,0.030286961410741643,518.9939687499805,0.5860312500195146,7.674781250015741
EN2002b,0.034997832451757756,0.06898475720108888,0.050096780453185184,4,5,1,1.5575937500234556,9.289468750022753,57.16912499999788,0.06855717413655575,389.43671874998626,0.42328125001225203,5.370781250012435
EN2002c,0.0190478322277797,0.03834168236963784,0.033545245167312755,3,3,0,1.2870312500464074,12.110156250047844,50.291906249999045,0.03793305785302575,629.8545937499769,0.6054062500231936,7.649156250025147
EN2002d,0.021990066856287273,0.0356758423937829,0.04216820489930431,4,4,0,1.35821875003408,13.048218750037446,44.436562499998956,0.03525470823856027,578.4100937499824,0.5999062500168648,7.709281250019568
ES2004a,0.03554228528422083,0.10766963634269941,0.04286943505075689,4,6,2,0.5180937500043168,4.926218750004689,27.37649999999904,0.10693294693527078,124.07596874999743,0.2440312500026529,2.8915312500033075
ES2004b,0.026353781823089714,0.11928813684837784,0.029602393555277225,4,5,1,0.9856875000293748,8.766937500024088,49.096687499997046,0.11853260315492653,202.74209374998748,0.4179062500142692,5.0904062500122365
ES2004c,0.01843206581065998,0.0719436890053158,0.024009684875539703,4,5,1,0.9367812500254971,9.414281250028138,31.019156249998368,0.07115146486558896,214.59734374998536,0.41265625001310724,5.4020312500174725
ES2004d,0.03249525356670832,0.09882062863256115,0.05134609853656801,4,5,1,1.601031250032495,11.24165625003355,52.36781249999724,0.09801859643256744,258.7661562499868,0.5438437500147018,5.715718750013611
IS1009a,0.02591819047277466,0.08337528166165944,0.053353916337841756,4,5,1,0.40468750000239595,3.686562500002154,13.945218749999341,0.08260795481060972,81.94090624999899,0.1590937500011833,1.9784687500019302
IS1009b,0.024445150456151463,0.10852362140723702,0.03399425531301197,4,5,1,0.7695937500186432,7.378968750018942,40.325437499997086,0.10776321308298879,179.07734374998947,0.3726562500103867,4.404531250010699
IS1009c,0.015884455173736226,0.12603340792842493,0.0181951651675196,4,5,1,0.652125000013541,5.304000000015364,19.21199999999744,0.12522046702967765,74.77037499999415,0.16962500000518332,2.2640000000051757
IS1009d,0.03366997871853382,0.13966320959156175,0.06082668458697125,4,5,1,0.9371875000230858,9.625312500023114,47.97612499999669,0.1390951105156449,161.9621562499937,0.2778437500066886,4.509718750008631
TS3003a,0.01664014283153973,0.1332150183546004,0.10251167434445209,4,4,0,0.4854062500102714,4.537656250008178,12.049124999999371,0.132163823819022,44.62365624999656,0.1323437500032174,1.68134375000243
TS3003b,0.009372699807772217,0.06091420009005129,0.018050776239609403,4,4,0,0.8634375000241192,7.419687500026285,8.779874999998924,0.05960253293289972,74.12831249999388,0.23168750000843374,2.5348125000070922
TS3003c,0.009528903259887166,0.05756300071337621,0.014020423740533743,4,4,0,0.7917187500213032,7.122343750021134,10.136062499998825,0.056596461778099585,89.5613749999938,0.19862500000694894,2.6605000000058645
TS3003d,0.01659996063452127,0.050815599956718645,0.035653252277085504,4,4,0,1.4721875000400075,13.169687500035185,19.725687499999623,0.04989227524185843,198.31765624999085,0.4223437500100964,5.717968750007316
