uri,der,der_overlap_system,jer,count_ref,count_hyp,count_error,missed_detection,false_alarm,confusion,der_overlap_assigned,region_t_and_d,region_t_minus_d,region_d_minus_t
EN2002a,0.044204634602795945,0.07703122023657673,0.08285218440434265,4,4,0,1.806312500039096,14.085687500035778,95.95721874999549,0.07659306705254551,518.9939687499805,0.5860312500195146,7.674781250015741
EN2002b,0.10468489508296619,0.18666320770139527,0.1232039528740926,4,6,2,1.5575937500234556,9.289468750022753,192.60174999999356,0.18632221753510028,389.43671874998626,0.42328125001225203,5.370781250012435
EN2002c,0.013871026411364066,0.021450609675961727,0.02387478034386954,3,3,0,1.2870312500464074,12.110156250047844,32.98253124999908,0.021022214341474263,629.8545937499769,0.6054062500231936,7.649156250025147
EN2002d,0.04055591083716781,0.06385758003590887,0.08358252521400593,4,4,0,1.35821875003408,13.048218750037446,94.11671874999732,0.0634571730204415,578.4100937499824,0.5999062500168648,7.709281250019568
ES2004a,0.06316061450246134,0.15778807937484118,0.098471132348148,4,6,2,0.5180937500043168,4.926218750004689,52.88009374999889,0.15710786724187298,124.07596874999743,0.2440312500026529,2.8915312500033075
ES2004b,0.032710642394952305,0.11698185722752025,0.04888329471181564,4,5,1,0.9856875000293748,8.766937500024088,63.2918749999948,0.11614035025236243,202.74209374998748,0.4179062500142692,5.0904062500122365
ES2004c,0.03322110843542165,0.12037867087477348,0.03868564221322673,4,5,1,0.9367812500254971,9.414281250028138,64.21271874999718,0.11963235927907884,214.59734374998536,0.41265625001310724,5.4020312500174725
ES2004d,0.04365813907426391,0.11576401834999543,0.06006792276828541,4,5,1,1.601031250032495,11.24165625003355,74.76915624999461,0.11499510635257132,258.7661562499868,0.5438437500147018,5.715718750013611
IS1009a,0.06615318292858745,0.18120215362838216,0.17771825961707435,4,5,1,0.40468750000239595,3.686562500002154,41.94474999999947,0.1805636300556848,81.94090624999899,0.1590937500011833,1.9784687500019302
IS1009b,0.0694371164213431,0.2555380251008179,0.08039330170685073,4,5,1,0.7695937500186432,7.378968750018942,129.5431562499932,0.2550073094950229,179.07734374998947,0.3726562500103867,4.404531250010699
IS1009c,0.030696535075279398,0.1925669357417242,0.04264828808539817,4,5,1,0.652125000013541,5.304000000015364,42.6809999999975,0.1917776811273963,74.77037499999415,0.16962500000518332,2.2640000000051757
IS1009d,0.05866235764410445,0.18471492408366022,0.12386784583510657,4,5,1,0.9371875000230858,9.625312500023114,91.42787499999378,0.18411411864572388,161.9621562499937,0.2778437500066886,4.509718750008631
TS3003a,0.02196400775272551,0.15658031472687226,0.16610053271863906,4,4,0,0.4854062500102714,4.537656250008178,17.511218749998818,0.15556529300900457,44.62365624999656,0.1323437500032174,1.68134375000243
TS3003b,0.017234585278795414,0.11621211756014772,0.042671051497227434,4,4,0,0.8634375000241192,7.419687500026285,23.092437499996663,0.1150656401272352,74.12831249999388,0.23168750000843374,2.5348125000070922
TS3003c,0.012312145308192196,0.08364776530951908,0.026805609041568854,4,4,0,0.7917187500213032,7.122343750021134,15.408218750000628,0.08273821062429466,89.5613749999938,0.19862500000694894,2.6605000000058645
TS3003d,0.019189933779028015,0.052792217168466715,0.042684367700112844,4,4,0,1.4721875000400075,13.169687500035185,25.087812499997717,0.05184631719987468,198.31765624999085,0.4223437500100964,5.717968750007316
